id,name,latitude,longitude,kind,media
500741,AV.ANTONIO C. COMITRE -LD PADARIA REAL I CAMPOLIM,-23.520468,-47.464459,URBANO,OUTDOOR
500742,AV.ANTONIO C.COMITRE -LD PADARIA REAL- II CAMPOLIM,-23.520598,-47.464476,URBANO,OUTDOOR
500743,"AV.AFONSO VERGUEIRO,3131- FTE- MAGGI/JAGUAR/LAND I",-23.501963,-47.479387,URBANO,OUTDOOR
500744,"AV.AFONSO VERGUEIRO,3131- FTE MAGGI/JAGUAR/LAND II",-23.502005,-47.479327,URBANO,OUTDOOR
500745,AV.PEREIRA INÁCIO X RUA JANUÁRIO BARBOSA II,-23.508387,-47.456012,URBANO,OUTDOOR
500746,AV.PEREIRA INÁCIO X RUA JANUÁRIO BARBOSA III,-23.508387,-47.456012,URBANO,OUTDOOR
500747,AV.IZORAIDA M.PERES170- IGUATEMI I SENTIDO CENTRO,-23.530911,-47.465289,URBANO,OUTDOOR
500748,AV.IZORAIDA M.PERES170- IGUATEMI II SENTIDO CENTRO,-23.530911,-47.465289,URBANO,OUTDOOR
500749,AV.IZORAIDA M.PERES170-IGUATEMI III- SENT.SHOPPING,-23.530911,-47.465289,URBANO,OUTDOOR
500754,"AV.JUSCELINO KUBITSCHEK , 847 - JD. VERGUEIRO I ",-23.506114, -47.460217,URBANO,OUTDOOR
500755,"AV.JUSCELINO KUBITSCHEK , 847 - JD. VERGUEIRO II",-23.506042,-47.460401,URBANO,OUTDOOR
500758,"AV.DOM AGUIRRE,ALÇA CASTELINHO- I- SENTIDO BAIRRO ",-23.4812337,-47.4391325,URBANO,OUTDOOR
500759,"AV.DOM AGUIRRE,ALÇA CASTELINHO- II SENTIDO BAIRRO ",-23.4812337,-47.4391325,URBANO,OUTDOOR
500760,"AV.DOM AGUIRRE,ALÇA CASTELINHO- I- SENTIDO CENTRO ",-23.480739,-47.439918,URBANO,OUTDOOR
500761,"AV.DOM AGUIRRE,ALÇA CASTELINHO- II SENTIDO CENTRO ",-23.480615,-47.439908,URBANO,OUTDOOR
500762,"AV.DOM AGUIRRE,ALÇA CASTELINHO-III SENTIDO CENTRO ",-23.480609,-47.439758,URBANO,OUTDOOR
500769,"AV.JUVENAL DE CAMPOS,SENTIDO DOM AGUIRRE- FRENTE HIGA ATACADO - PLACA I",-23.512472,-47.451656,URBANO,OUTDOOR
500770,"AV.JUVENAL DE CAMPOS, SENTIDO DOM AGUIRRE- FRENTE HIGA ATACADO - PLACA II",-23.512472,-47.451656,URBANO,OUTDOOR
500772,AV.IPANEMA ESQUINA C/RUA OLAVO MARIANO,-23.453269,-47.508817,URBANO,OUTDOOR
500773,AV. JEROME CASE - SENTIDO DISTRITO INDUSTRIAL,-23.434053,-47.393990,URBANO,OUTDOOR
500774,AV. JEROME CASE - SENTIDO CASTELINHO,-23.433982,-47.393945,URBANO,OUTDOOR
500775,AV.VICTOR ANDREWS-PORT.II COND.IBITI-SENT.CENTRO,-23.438376,-47.436517,URBANO,OUTDOOR
500776,AV.VICTOR ANDREWS-PORT.II COND.IBITI-SENT.BAIRRO,-23.438376,-47.436517,URBANO,OUTDOOR
500777,AV. FERNANDO STECCA - SENTIDO BAIRRO,-23.456147,-47.439624,URBANO,OUTDOOR
500778,AV. FERNANDO STECCA - SENTIDO CENTRO,-23.456147,-47.439624,URBANO,OUTDOOR
500792,RUA HERMELINO MATARAZZO CRUZ. C/ AV.J.J LACERDA -I,-23.4851328,-47.4677315,URBANO,OUTDOOR
500793,RUA HERMELINO MATARAZZO CRUZ.C/ AV.J.J LACERDA- II,-23.4851328,-47.4677315,URBANO,OUTDOOR
500794,"AV.J.J.LACERDA,ALT.N°1100- EXTRA SUPERMERCADOS - SENT.BAIRRO II",-23.481638,-47.459093,URBANO,OUTDOOR
500795,"AV.J.J.LACERDA,ALT.N°1101- EXTRA SUPERMERCADOS - SENT.CENTRO I",-23.481638,-47.459093,URBANO,OUTDOOR
500799,"AV.NOGUEIRA PADILHA,770- SENTIDO BOA I",-23.5052214,-47.4453109,URBANO,OUTDOOR
500800,"AV.NOGUEIRA PADILHA,770- SENTIDO BOA II",-23.5052214,-47.4453109,URBANO,OUTDOOR
500801,ROD.RAPOSO TAVARES ALÇA TREVO ACESSO -PANNUNZIO I, -23.533305,-47.4852262,RODOVIA,OUTDOOR
500802,ROD.RAPOSO TAVARES ALÇA TREVO ACESSO -PANNUNZIO II, -23.533305,-47.4852262,RODOVIA,OUTDOOR
500803,"AV. COMENDADOR PEREIRA INÁCIO , 1045 - FT CENTRO DE MEDICINA - SENT. IGUATEMI/VOTORANTIM - I",-23.5142642,-47.4550793,URBANO,OUTDOOR
500804,"AV. COMENDADOR PEREIRA INÁCIO , 1045 - FT CENTRO DE MEDICINA - SENT. IGUATEMI/VOTORANTIM - II",-23.5142642,-47.4550793,URBANO,OUTDOOR
500809,"AV. GENERAL CARNEIRO, 811 - FRENTE IGREJA SÃO JOSÉ - SENTIDO TAUSTE- LOJA 3/CONFIANÇA ",-23.5043149,-47.4761986,URBANO,OUTDOOR
500810,RUA PADRE MADUREIRA LADO COOP - DOM AGUIRRE  - PLACA I,-23.4951221,-47.441899,URBANO,OUTDOOR
500811,RUA PADRE MADUREIRA LADO COOP - DOM AGUIRRE  - PLACA II,-23.4951221,-47.441899,URBANO,OUTDOOR
500812,"AV. JUVENAL DE CAMPOS, ALTURA Nº 180- CROSSFIT GOMIXEL - SENTIDO CENTRO I",-23.5097232,-47.452626,URBANO,OUTDOOR
500813,"AV. JUVENAL DE CAMPOS, ALTURA Nº 180- CROSSFIT GOMIXEL - SENTIDO CENTRO II",-23.5097232,-47.452626,URBANO,OUTDOOR
500820,RUA HUMBERTO DE CAMPOS- FRENTE INSTITUTO I,-23.5004514,-47.4820365,URBANO,OUTDOOR
500821,RUA HUMBERTO DE CAMPOS- FRENTE INSTITUTO II,-23.5008078,-47.4820429,URBANO,OUTDOOR
500838,RUA PANDIÁ CALÓGENAS ESQUINA COM AV. PEREIRA INÁCIO - POSTO SHELL I,-23.5069779,-47.4558072,URBANO,OUTDOOR
